date,vapour_pressure_deficit_max (kPa),wet_bulb_temperature_2m_mean (°F),wind_speed_10m_mean (km/h),precipitation_sum (inch),et0_fao_evapotranspiration_sum (inch),temperature_2m_mean (°F),surface_pressure_mean (hPa)
1/1/2026,0.48,27.3,17.3,0,0.06,33.7,1008.2
1/2/2026,0.55,27.5,6.8,0,0.049,33.3,1008.2
1/3/2026,0.4,24.9,6.6,0,0.035,30.7,1013.6
1/4/2026,0.54,25.1,8.8,0,0.053,31.4,1017.1
1/5/2026,0.39,31.5,10,0,0.044,35.9,1019.8
1/6/2026,0.47,43.3,8.3,0,0.046,46.6,1009.8
1/7/2026,1.06,46.9,12.8,0,0.082,53.5,1008.1
1/8/2026,0.69,38.4,6.2,0,0.053,42.5,1020.7
1/9/2026,0.45,46.5,11.3,0,0.049,49.4,1021
1/10/2026,0.33,54.7,11.8,0.339,0.014,56.3,1014.9
1/11/2026,0.54,40.8,17.9,0.012,0.053,46.3,1011.8
1/12/2026,0.67,30,13.2,0,0.067,36.4,1022.9
1/13/2026,0.88,33.8,10.3,0,0.072,40.2,1015.9
1/14/2026,0.84,37.3,12.8,0.004,0.072,45.2,1002.9
1/15/2026,0.47,31.1,18.7,0,0.071,37.4,999.6
1/16/2026,0.56,24.7,16.6,0,0.074,31.6,1014.2
1/17/2026,1.22,33.1,12.5,0,0.094,42.2,1017.1
1/18/2026,0.26,37.1,10.9,0.311,0.016,39.1,1012
1/19/2026,0.52,28.3,13.5,0,0.059,33.8,1015
1/20/2026,0.42,21.6,9.5,0,0.054,27.5,1025.8
1/21/2026,0.68,25,11.1,0,0.066,31.3,1028.5
1/22/2026,0.92,38.5,13.6,0,0.098,47,1018
1/23/2026,1.03,30.7,5.8,0,0.062,37.5,1020.8
1/24/2026,0.37,15.3,17.3,0,0.058,20,1033.5
1/25/2026,0.09,29.7,15,1.169,0.009,31,1016.4
1/26/2026,0.26,25.9,19.7,0,0.034,29.2,1010.3
1/27/2026,0.28,19.8,14.7,0,0.05,24.6,1019.3
1/28/2026,0.28,17.9,10.6,0,0.049,22.8,1019.3
1/29/2026,0.31,15.8,14.2,0,0.046,20.5,1020.5
1/30/2026,0.29,14.1,11.8,0,0.043,18.6,1022.6
1/31/2026,0.27,13.5,15.6,0,0.043,17.9,1017.3
2/1/2026,0.26,16.7,27.3,0,0.05,21.4,1009
2/2/2026,0.44,20.4,16.1,0,0.066,26.3,1018.1
2/3/2026,0.76,24.7,6.1,0,0.063,30.4,1020.5
2/4/2026,0.31,31.1,8.6,0.016,0.03,35.1,1019.9
2/5/2026,0.49,24.1,12.2,0,0.068,30.3,1015.1
2/6/2026,0.48,22.5,8.2,0,0.055,27.7,1005.5
2/7/2026,0.3,20.3,33.8,0,0.058,24.8,1009.2
2/8/2026,0.25,14.9,26.5,0,0.056,19.6,1022.8
2/9/2026,0.35,17.5,12.4,0,0.056,22.6,1024.9
